Tamanho,Algoritmo,Media_Tempo,Std_Tempo,Media_CO2,Std_CO2,Contagem,IC_95_Tempo,IC_95_CO2
100,Dijkstra Classico,0.0018836339314778647,0.0009648178496113746,1.4040807349406603e-08,8.639572095712133e-09,75,0.0002219844270014176,1.987785012452452e-09
100,Dijkstra Min-Heap,0.0014696025848388672,0.00048057735577940376,1.1154212271347185e-08,2.9900299694806943e-09,75,0.00011057080773901309,6.879434182935052e-10
100,NetworkX Referencia,0.0008359622955322266,0.00020403965861158786,7.802087894618815e-09,1.822865158002382e-09,75,4.694526196908807e-05,4.194031834744746e-10
500,Dijkstra Classico,0.03189534187316895,0.02176146956342508,1.667210949594e-07,1.1137218257300948e-07,75,0.005006859433302874,2.56244120507566e-08
500,Dijkstra Min-Heap,0.01671199162801107,0.06541618616470464,8.967141502658546e-08,3.331759204519982e-07,75,0.015050897543240085,7.665681747284993e-08
500,NetworkX Referencia,0.004860312143961589,0.0011730319493833338,2.8487055442087618e-08,5.986284463155445e-09,75,0.0002698901406551521,1.3773189695405317e-09
1000,Dijkstra Classico,0.12863773028055828,0.06540497006998884,6.590864753800217e-07,3.33225335147395e-07,75,0.01504831695421006,7.666818676172402e-08
1000,Dijkstra Min-Heap,0.042281268437703454,0.05671212579678307,2.1933026578913634e-07,2.888568426976598e-07,75,0.013048275126856426,6.645992374364409e-08
1000,NetworkX Referencia,0.015035387674967447,0.024048471331016234,8.056655140049405e-08,1.226483896242745e-07,75,0.0055330507523528305,2.8218831673105695e-08
5000,Dijkstra Classico,2.6942846743265787,0.4199856465511956,1.3726006947338846e-05,2.139010192420451e-06,75,0.09662992152978915,4.921415499370213e-07
5000,Dijkstra Min-Heap,0.2865902582804362,0.0609607271819944,1.4638749635776322e-06,3.105310830646755e-07,75,0.014025789529635615,7.144671356153662e-08
5000,NetworkX Referencia,0.08431848208109538,0.01727945276465051,4.3312317347302685e-07,8.761531298714424e-08,75,0.003975641021156522,2.0158452766846263e-08
10000,Dijkstra Classico,9.863486865361532,0.7116985890587433,5.0238995994767675e-05,3.625500272187766e-06,75,0.16374697416052028,8.341518565802419e-07
10000,Dijkstra Min-Heap,0.7821715164184571,0.15481950606908063,3.9880056514636295e-06,7.89023192653624e-07,75,0.03562073334073419,1.8153774972404796e-07
10000,NetworkX Referencia,0.2119594923655192,0.06373526613896181,1.0833770926356739e-06,3.245107398678208e-07,75,0.014664152968707156,7.466314048229961e-08
