Tamanho,Repeticao,Fonte,Algoritmo,Tempo_s,CO2_kg
100,1,82,Dijkstra Classico,0.002118349075317383,1.3546420858581617e-08
100,1,82,Dijkstra Min-Heap,0.0016851425170898438,1.1352429759604719e-08
100,1,82,NetworkX Referencia,0.0010883808135986328,2.0981405136435972e-08
100,1,65,Dijkstra Classico,0.0014052391052246094,1.077904083222369e-08
100,1,65,Dijkstra Min-Heap,0.0019676685333251953,1.3361665162269098e-08
100,1,65,NetworkX Referencia,0.000774383544921875,7.388587146327823e-09
100,1,51,Dijkstra Classico,0.0013942718505859375,1.0595835542010283e-08
100,1,51,Dijkstra Min-Heap,0.0011065006256103516,9.07422201878874e-09
100,1,51,NetworkX Referencia,0.0007295608520507812,7.155643322762518e-09
100,1,86,Dijkstra Classico,0.0014026165008544922,1.0327073962849485e-08
100,1,86,Dijkstra Min-Heap,0.0010797977447509766,8.955734422473239e-09
100,1,86,NetworkX Referencia,0.001016855239868164,7.95852431767444e-09
100,1,68,Dijkstra Classico,0.0021834373474121094,1.384692904685542e-08
100,1,68,Dijkstra Min-Heap,0.0011005401611328125,9.400095655656264e-09
100,1,68,NetworkX Referencia,0.0007171630859375,7.037561449040078e-09
100,2,42,Dijkstra Classico,0.001430511474609375,1.0671173562683193e-08
100,2,42,Dijkstra Min-Heap,0.0011134147644042969,9.30796784101024e-09
100,2,42,NetworkX Referencia,0.0005939006805419922,6.736188207603633e-09
100,2,3,Dijkstra Classico,0.0014634132385253906,1.1156919828183805e-08
100,2,3,Dijkstra Min-Heap,0.0011179447174072266,9.554214040915339e-09
100,2,3,NetworkX Referencia,0.0007169246673583984,6.829657867107666e-09
100,2,14,Dijkstra Classico,0.0020895004272460938,1.3311772608218432e-08
100,2,14,Dijkstra Min-Heap,0.0024268627166748047,1.51922645569207e-08
100,2,14,NetworkX Referencia,0.0016598701477050781,1.2508350328994698e-08
100,2,33,Dijkstra Classico,0.0014929771423339844,1.128117135967599e-08
100,2,33,Dijkstra Min-Heap,0.0011546611785888672,9.331617504383904e-09
100,2,33,NetworkX Referencia,0.0007407665252685547,7.456335081807632e-09
100,2,22,Dijkstra Classico,0.0013854503631591797,1.059110764774619e-08
100,2,22,Dijkstra Min-Heap,0.0011332035064697266,9.292659393858827e-09
100,2,22,NetworkX Referencia,0.0007159709930419922,7.58719814933613e-09
100,3,74,Dijkstra Classico,0.0013811588287353516,1.093756430545922e-08
100,3,74,Dijkstra Min-Heap,0.0025968551635742188,2.4675491348695375e-08
100,3,74,NetworkX Referencia,0.001096487045288086,8.28745030419773e-09
100,3,33,Dijkstra Classico,0.0022249221801757812,1.4052658677602602e-08
100,3,33,Dijkstra Min-Heap,0.001107931137084961,1.0135811978095783e-08
100,3,33,NetworkX Referencia,0.0007116794586181641,7.368019674715843e-09
100,3,4,Dijkstra Classico,0.001477956771850586,1.113229768041908e-08
100,3,4,Dijkstra Min-Heap,0.0011327266693115234,9.206229051650564e-09
100,3,4,NetworkX Referencia,0.0007293224334716797,7.028941386817842e-09
100,3,13,Dijkstra Classico,0.0013959407806396484,1.0410245096071427e-08
100,3,13,Dijkstra Min-Heap,0.0016133785247802734,1.1490657604603052e-08
100,3,13,NetworkX Referencia,0.0006818771362304688,7.064873120130217e-09
100,3,76,Dijkstra Classico,0.0022461414337158203,1.4390446514106178e-08
100,3,76,Dijkstra Min-Heap,0.0016667842864990234,2.1212643805325625e-08
100,3,76,NetworkX Referencia,0.0010688304901123047,9.558111073743753e-09
100,4,55,Dijkstra Classico,0.0014433860778808594,1.0737142166126447e-08
100,4,55,Dijkstra Min-Heap,0.0011749267578125,9.382563773983749e-09
100,4,55,NetworkX Referencia,0.0007266998291015625,7.038850185289818e-09
100,4,44,Dijkstra Classico,0.0014319419860839844,1.0598049730278133e-08
100,4,44,Dijkstra Min-Heap,0.001276254653930664,9.98723028281187e-09
100,4,44,NetworkX Referencia,0.0006852149963378906,7.186703834298047e-09
100,4,93,Dijkstra Classico,0.0013782978057861328,1.0928572688549437e-08
100,4,93,Dijkstra Min-Heap,0.0011360645294189453,9.684173475113032e-09
100,4,93,NetworkX Referencia,0.0010635852813720703,8.172629344018986e-09
100,4,40,Dijkstra Classico,0.002196788787841797,1.4109166144160113e-08
100,4,40,Dijkstra Min-Heap,0.002454996109008789,1.618530189114971e-08
100,4,40,NetworkX Referencia,0.0007443428039550781,7.078699313480117e-09
